"","connection","line"
"131","8832433/20160807/IC4333","15"
"132","8875002/20160807/IC3935","122"
"133","8872009/20160807/IC3935","118"
"134","008891702/20160807/IC519","50A"
"135","8842846/20160807/L5593","34"
"136","008821907/20160808/IC3432","29"
"137","008821964/20160808/IC3432","29"
"138","008821717/20160808/IC3432","15"
"139","008821600/20160808/IC3432","25"
"140","008822004/20160808/IC3432","25"
"141","008811189/20160808/IC3432","25"
"142","008812005/20160808/IC3432","0"
"143","008813003/20160808/IC3432","0"
"144","008814308/20160808/IC3432","96"
"145","008883808/20160808/IC3432","96"
"146","008883006/20160808/IC3432","108"
"147","008883212/20160808/IC3432","108"
"148","008882206/20160808/IC911","118"
"149","008871100/20160808/IC2014","124"
"150","008871308/20160808/IC2014","124"
"151","008814209/20160808/IC2014","124"
"152","008814001/20160808/IC2014","0"
"153","008813003/20160808/IC2014","0"
"154","008812005/20160808/IC2014","25"
"155","008822004/20160808/IC2014","25"
"156","008821006/20160808/IC4237","4"
"157","008821121/20160808/IC4237","15"
"158","008821600/20160808/IC4237","15"
"159","008821717/20160808/IC4237","29"
"160","8821006/20160809/IC4312","15"
"161","8821006/20160809/IC4312","15"
"162","008821121/20160809/IC716","59"
"163","8811916/20160809/IC2417","161"
"164","008821907/20160810/IC3435","29"
"165","008821964/20160810/IC3435","29"
"166","008891140/20160810/IC2833","50A"
"167","008821717/20160810/IC3435","15"
"168","008821600/20160810/IC3435","25"
"169","008822004/20160810/IC3435","25"
"170","008811189/20160810/IC3435","25"
"171","008812005/20160810/IC3435","0"
"172","008814001/20160810/IC3419","0"
"173","008813003/20160810/IC3419","0"
"174","008812005/20160810/IC3419","25"
"175","008811189/20160810/IC3419","25"
"176","008822004/20160810/IC3419","25"
"177","008821600/20160810/IC3419","15"
"178","008821907/20160811/IC4210","29"
"179","008821964/20160811/IC4210","29"
"180","008821717/20160811/IC4210","15"
"181","008821600/20160811/IC4210","15"
"182","008821121/20160811/IC4210","4"
"183","008821006/20160811/IC2033","4"
"184","008821121/20160811/IC2033","25"
"185","008822004/20160811/IC2033","25"
"186","008892007/20160811/IC510","53"
"187","008813003/20160811/IC2112","0"
"188","008833001/20160811/IC2611","35"
"189","8814001/20160811/IC534","50"
"190","008861200/20160811/IC2112","161"
"191","008811916/20160811/IC2112","161"
"192","008811304/20160811/IC2112","161"
"193","008811601/20160811/IC2112","161"
"194","008831005/20160811/IC1538","21"
"195","008831005/20160811/IC1538","53"
"196","008814001/20160811/IC1538","50"
"197","008891140/20160812/IC2840","50A"
"198","008891140/20160812/IC1507","50A"
"199","008892007/20160812/IC1809","59"
"200","008893120/20160812/IC1809","59"
"201","008894201/20160812/IC1809","59"
"202","8892007/20160812/IC3612","50"
"203","008891140/20160812/IC1513","50A"
"204","008892007/20160812/IC1816","59"
"205","008893120/20160812/IC1816","59"
"206","008894201/20160812/IC1816","59"
"207","8814001/20160812/IC542","50"
"208","8892007/20160813/IC1830","50A"
"209","8821006/20160813/IC710","59"
"210","8891702/20160813/IC1818","50A"
"211","8892007/20160816/IC1806","59"
"212","8814001/20160816/IC429","50"
"213","8891009/20160816/IC1809","50A"
"214","8892007/20160816/L585","50A"
"215","8821006/20160816/IC1839","59"
"216","8821006/20160816/IC1839","59"
"217","8894748/20160817/IC1828","59"
"218","008821907/20160817/IC4209","29"
"219","008821964/20160817/IC4209","29"
"220","008821717/20160817/IC4209","15"
"221","008821600/20160817/IC4209","15"
"222","008821121/20160817/IC1831","52"
"223","008821196/20160817/IC1831","59"
"224","008894748/20160817/IC1831","59"
"225","008894508/20160817/IC1831","59"
"226","008894201/20160817/IC1831","59"
"227","008892007/20160817/IC1831","50A"
"228","008893120/20160817/IC1831","59"
"229","008813003/20160817/IC416","36"
"230","8893120/20160817/IC1819","59"
"231","8814001/20160817/IC2231","0"
"232","8892007/20160817/IC2820","50"
"233","8894748/20160818/IC1828","59"
"234","8891009/20160818/IC512","50A"
"235","008812005/20160818/IC415","37"
"236","8892007/20160818/IC2813","50"
"237","8813003/20160818/IC539","50"
"238","8893120/20160818/IC1817","59"
"239","8821006/20160818/IC1839","59"
"240","8894748/20160819/IC1828","59"
"241","8893120/20160819/IC728","59"
"242","8892007/20160819/IC3633","73"
"243","8821006/20160819/IC718","59"
"244","008892007/20160821/IC1813","59"
"245","008891140/20160821/IC1512","50A"
"246","8821006/20160822/IC1839","59"
"247","8893120/20160823/IC728","59"
"248","8814001/20160823/IC2037","124"
"249","8892007/20160823/ICT6952","50"
"250","8895000/20160823/P7970","50"
"251","8895000/20160823/IC3628","50"
"252","8891009/20160824/IC832","50A"
"253","8896800/20160824/IC832","73"
"254","8814001/20160825/IC3736","96"
"255","008892007/20160826/IC733","59"
"256","008893120/20160826/IC733","59"
"257","008894201/20160826/IC733","59"
"258","008894508/20160826/IC733","59"
"259","008821121/20160826/IC733","4"
"260","8814001/20160830/IC3736","96"
"261","8892007/20160830/IC1537","50A"
"262","8892007/20160831/L557","50"
"263","8821006/20160901/IC716","59"
"264","8892007/20160903/IC529","50A"
"265","8892007/20160903/IC529","50A"
"266","8892007/20160903/IC2214","50"
"267","8892007/20160904/IC1831","50A"
"268","8811304/20160905/S53586","96"
"269","8893401/20160905/L590","53"
"270","008813003/20160905/IC521","36"
"271","008812005/20160905/IC521","36"
"272","8893120/20160906/IC728","59"
"273","8891009/20160906/IC1511","50A"
"274","8813003/20160906/IC3415","27"
"275","8892007/20160906/IC1538","50A"
"276","8893401/20160905/L588","53"
"277","8892254/20160906/IC3606","73"
"278","8893013/20160907/L557","53"
"279","008821006/20160907/IC2035","25"
"280","8893120/20160908/IC728","59"
"281","8893013/20160908/L557","53"
"282","8821006/20160908/IC1839","59"
"283","8821006/20160908/IC3137","25"
"284","8893013/20160909/L557","53"
"285","8861200/20160909/IC2127","161"
"286","8891009/20160909/IC2814","50A"
"287","8892007/20160909/IC1537","50A"
"288","8812005/20160909/IC415","36"
"289","008813003/20160909/IC507","36"
"290","8893559/20160909/L569","53"
"291","8893559/20160909/L570","53"
"292","8891009/20160910/IC510","50A"
"293","8821006/20160910/IC2614","59"
"294","8821006/20160910/IC2614","59"
"295","8892007/20160910/IC1842","50A"
"296","8891009/20160911/IC507","50"
"297","8822004/20160911/IC2615","25"
"298","8895000/20160911/IC3628","50"
"299","8895000/20160911/IC2227","50"
"300","8893013/20160912/L557","53"
"301","8892007/20160912/L1867","50"
"302","8892007/20160912/IC3640","73"
"303","8893013/20160913/L557","53"
"304","8892254/20160913/IC3607","73"
"305","8814001/20160913/IC1737","96"
"306","8893401/20160913/L588","53"
"307","008892007/20160913/IC417","50"
"308","8893013/20160915/L556","53"
"309","8813003/20160915/IC513","36"
"310","8814001/20160915/IC3645","0"
"311","8819406/20160915/IC3645","50A"
"312","8833001/20160915/IC544","53"
"313","8891009/20160916/IC508","50A"
"314","008831005/20160916/IC2635","35"
"315","008821006/20160916/1828","4"
"316","008821121/20160916/1828","52"
"317","008821196/20160916/1828","59"
"318","008894748/20160916/1828","59"
"319","008894508/20160916/1828","59"
"320","008894201/20160916/1828","59"
"321","008893120/20160916/1828","59"
"322","008892007/20160916/1828","50A"
"323","008891009/20160916/1828","50A"
"324","008822269/20160916/S53360","25"
"325","8831039/20160916/IC1530","35"
"326","008811213/20160916/S93288","36"
"327","008811213/20160916/S23764","36"
"328","008812005/20160916/IC4515","25"
"329","008812005/20160916/IC4515","25"
"330","008813003/20160916/8015","0"
"331","008812005/20160916/8015","0"
"332","008812021/20160916/8015","50"
"333","008812047/20160916/8015","50"
"334","008812211/20160916/8015","50"
"335","008812229/20160916/8015","50"
"336","008812237/20160916/8015","50"
"337","008812237/20160916/8015","50"
"338","008812245/20160916/8015","50"
"339","008812252/20160916/8015","50"
"340","008812260/20160916/8015","50"
"341","008895836/20160916/8015","50"
"342","008895802/20160916/8015","50"
"343","008895091/20160916/8015","50"
"344","008892007/20160916/IC1816","59"
"345","008812005/20160916/S32265","60"
"346","008892007/20160916/IC1816","59"
"347","008892007/20160916/IC1816","59"
"348","008812047/20160916/S32265","60"
"349","008813003/20160916/S23766","36"
"350","008812005/20160916/S86567","0"
"351","008821337/20160916/S11789","25"
"352","008821337/20160916/S11789","25"
"353","008831005/20160916/P7305","35"
"354","008892007/20160916/IC442","75"
"355","008863008/20160916/IC2422","125"
"356","008833001/20160917/IC2621","35"
"357","008833001/20160917/IC2621","35"
"358","008814001/20160917/IC1509","36"
"359","008872009/20160917/IC3110","124"
"360","008874567/20160917/L4561","130"
"361","008874005/20160917/L4561","130"
"362","008813003/20160917/IC3133","124"
"363","8821006/20160916/IC2045","25"
"364","8821006/20160917/S11996","25"
"365","008893526/20160917/L858","53"
"366","008831765/20160917/IC1528","21"
"367","008863008/20160917/IC3838","130"
"368","008894425/20160917/IC3229","60"
"369","008891009/20160917/IC1508","50"
"370","008814001/20160917/IC3607","36"
"371","008892007/20160917/IC742","59"
"372","008833001/20160918/IC1532","36"
"373","008821121/20160918/IC1832","52"
"374","008821196/20160918/IC1832","59"
"375","008894508/20160918/IC1832","59"
"376","008894201/20160918/IC1832","59"
"377","008893120/20160918/IC1832","59"
"378","008895505/20160918/L4864","90"
"379","008891702/20160918/IC1817","50A"
"380","008891702/20160918/IC1817","50A"
"381","008892320/20160918/IC3617","73"
"382","008892320/20160918/IC3617","73"
"383","008892304/20160918/IC3617","73"
"384","008892205/20160918/IC3617","73"
"385","008892254/20160918/IC3617","73"
"386","008892007/20160918/IC3617","50"
"387","008812005/20160918/S86588","0"
"388","008814001/20160918/S23788","96"
"389","008892007/20160918/L867","50"
"390","008822137/20160918/L867","53"
"391","008892601/20160918/IC2316","89"
"392","008891702/20160918/IC518","50A"
"393","008891009/20160918/IC518","50A"
"394","008892007/20160918/IC518","50"
"395","008811437/20160918/S86569","161"
"396","008821717/20160918/IC4239","29"
"397","008821964/20160918/IC4239","29"
"398","008821006/20160918/IC4239","4"
"399","008821121/20160918/IC4239","15"
"400","008892007/20160918/IC1842","50A"
"401","008881166/20160918/IC3719","96"
"402","008812005/20160918/IC518","36"
"403","008812005/20160918/IC3617","36"
"404","008814001/20160918/S103879","0"
"405","008894201/20160918/IC1808","59"
"406","008883006/20160918/P7802","96"
"407","008821121/20160918/L2578","52"
"408","008831005/20160919/P7215","35"
"409","008831005/20160919/P7215","35"
"410","008894425/20160919/IC3229","60"
"411","008841202/20160919/P7444","36"
"412","008841202/20160919/P7444","36"
"413","008895000/20160919/P7982","89"
"414","008831005/20160919/P7305","35"
"415","008883311/20160919/P7515","94"
"416","008886009/20160919/P8589","90"
"417","008886587/20160919/P8589","90"
"418","008886561/20160919/P8589","90"
"419","008886553/20160919/P8589","90"
"420","008886504/20160919/P8589","90"
"421","008886546/20160919/P8589","90"
"422","008822004/20160919/IC3128","25"
"423","008822004/20160919/IC3128","25"
"424","008822004/20160919/P7208","25"
"425","008812005/20160919/IC3205","0"
"426","008833001/20160919/IC1529","36"
"427","008883311/20160919/IC2408","94"
"428","008821717/20160919/IC4207","15"
"429","008883311/20160919/IC2408","94"
"430","008821717/20160919/IC4207","15"
"431","008821717/20160919/IC4207","15"
"432","008812120/20160919/S32279","60"
"433","008891009/20160919/IC507","50A"
"434","008812062/20160919/S32279","60"
"435","008892007/20160919/IC2807","50"
"436","008821238/20160919/IC3328","25"
"437","008821238/20160919/IC3328","25"
"438","008833001/20160919/IC1730","36"
"439","008833001/20160919/IC1730","36"
"440","008812005/20160919/IC1730","0"
"441","008814001/20160919/IC3430","96"
"442","008814001/20160919/IC2036","124"
"443","008814001/20160919/IC1534","50"
"444","008819406/20160919/IC2633","25"
"445","008822004/20160919/IC2633","25"
"446","008821121/20160919/IC2633","4"
"447","008892007/20160919/IC536","50A"
"448","008812005/20160919/IC1714","36"
"449","008812005/20160919/P8802","96"
"450","008883436/20160919/P8512","94"
"451","008812005/20160919/IC1714","36"
"452","008886009/20160919/P8512","94"
"453","008811189/20160919/IC3316","25"
"454","008893401/20160919/L2688","59"
"455","008822004/20160919/IC4138","53"
"456","008812005/20160919/S61588","0"
"457","008812005/20160919/S61588","123"
"458","008812005/20160919/IC2215","36"
"459","008886348/20160919/P8512","94"
"460","008821121/20160919/IC716","59"
"461","008821121/20160919/IC716","59"
"462","008821121/20160919/IC716","59"
"463","008811189/20160919/IC3316","25"
"464","8812005/20160708/IC2116","0"
"465","008811411/20160919/S53366","161"
"466","008893401/20160919/L2689","59"
"467","008821121/20160919/IC2616","34"
"468","008813003/20160919/IC1939","94"
"469","008813003/20160919/IC1540","0"
"470","008844008/20160919/L5277","37"
"471","008883311/20160919/IC1907","94"
"472","8831765/20160919/IC1544","36"
"473","008814001/20160919/IC528","50"
"474","008844008/20160919/IC530","37"
"475","008833209/20160920/IC2228","36"
"476","008833001/20160920/IC1728","36"
"477","008821238/20160920/IC3128","25"
"478","008883436/20160920/IC1928","94"
"479","008883311/20160920/IC2408","94"
"480","008883311/20160920/IC2408","94"
"481","008892007/20160920/IC1506","50"
"482","008892007/20160920/P7008","50"
"483","008811304/20160920/IC2107","161"
"484","008891009/20160920/IC1808","50A"
"485","008821196/20160920/IC1833","50A"
"486","008891009/20160920/IC1807","50A"
"487","008892007/20160920/IC1807","59"
"488","008893120/20160920/IC1807","59"
"489","008894201/20160920/IC1807","59"
"490","008821196/20160920/IC1807","52"
"491","008821121/20160920/IC1807","4"
"492","008833001/20160920/IC530","36"
"493","008812005/20160920/IC530","0"
"494","008833001/20160920/IC1730","36"
"495","008812005/20160920/IC1730","0"
"496","008811601/20160920/S83979","161"
"497","008833175/20160920/L2779","53"
"498","008822004/20160920/L2779","53"
"499","008822111/20160920/IC4133","53"
"500","008821196/20160920/IC1835","59"
"501","008894748/20160920/IC1835","59"
"502","008892007/20160920/IC2834","50A"
"503","008812005/20160920/IC1713","36"
"504","008892007/20160920/IC1835","50A"
"505","008893120/20160920/IC1835","59"
"506","008894508/20160920/IC1835","59"
"507","008814001/20160920/IC1537","50"
"508","008812005/20160920/S61588","0"
"509","008812005/20160920/S61588","123"
"510","008812005/20160920/IC4516","25"
"511","008822004/20160920/S11967","25"
"512","008822004/20160920/S11967","25"
"513","008811304/20160920/S818660","161"
"514","008813003/20160920/IC539","50"
"515","008813003/20160920/IC539","50"
"516","008821121/20160920/IC9252","25"
"517","008892007/20160920/L567","50"
"518","008821121/20160920/IC2017","4"
"519","008814001/20160920/IC1542","50"
"520","008881000/20160920/IC1705","96"
"521","008884715/20160921/L4882","78"
"522","008833001/20160921/IC2628","36"
"523","008822475/20160921/IC4128","53"
"524","008814308/20160921/S73457","96"
"525","008885704/20160921/IC3207","94"
"526","008812120/20160921/S32279","60"
"527","008893013/20160921/P7013","50"
"528","008892007/20160921/IC507","50"
"529","008833001/20160921/IC530","36"
"530","008812005/20160921/IC530","0"
"531","008822004/20160921/S53588","25"
"532","008885001/20160921/IC3235","94"
"533","008812047/20160921/S103885","60"
"534","8892007/20160921/IC407","50"
"535","008883113/20160921/IC1736","96"
"536","008821006/20160921/IC2615","36"
"537","008813003/20160921/IC2215","36"
"538","008812005/20160921/S61588","123"
"539","008812005/20160921/S61588","123"
"540","008812005/20160921/P8802","96"
"541","008895802/20160921/P8011","50"
"542","008812005/20160921/P8013","50"
"543","008892007/20160921/IC716","75"
"544","008813003/20160921/IC539","50"
"545","008896008/20160921/IC420","75"
"546","008813003/20160921/IC3605","0"
"547","008814001/20160921/3415","0"
"548","008813003/20160921/3415","0"
"549","008812005/20160921/3415","25"
"550","008811189/20160921/3415","25"
"551","008822004/20160921/3415","25"
"552","008821600/20160921/3415","15"
"553","008821717/20160921/3415","29"
"554","008821964/20160921/3415","29"
"555","008814001/20160921/S61590","50"
"556","008814001/20160921/S61590","50"
"557","008892007/20160921/IC542","50A"
"558","008821006/20160921/1828","4"
"559","008821121/20160921/1828","52"
"560","008833233/20160921/IC2909","35"
"561","008833233/20160921/IC2909","35"
"562","008874716/20160921/L4579","130"
"563","008821600/20160921/IC3442","25"
"564","008892007/20160921/IC4107","53"
"565","008872553/20160922/L4580","140"
"566","008844008/20160922/IC429","37"
"567","008894425/20160922/IC3229","60"
"568","008831005/20160922/P7305","35"
"569","008822004/20160922/IC3128","25"
"570","008832573/20160922/IC4337","19"
"571","008832573/20160922/IC4337","19"
"572","008832565/20160922/IC4337","19"
"573","008883311/20160922/IC2408","94"
"574","008883311/20160922/IC2408","94"
"575","008895505/20160922/P7923","90"
"576","008841004/20160922/L5277","37"
"577","008841525/20160922/L5277","34"
"578","008893013/20160922/P7013","50"
"579","008819406/20160922/IC2628","25"
"580","008822004/20160922/IC2628","25"
"581","008891009/20160922/IC1507","50A"
"582","008891140/20160922/IC1507","50A"
"583","008892007/20160922/IC1507","50"
"584","008821238/20160922/IC3129","25"
"585","008811510/20160922/S83981","161"
"586","008831401/20160922/IC2229","35"
"587","008831401/20160922/P7305","35"
"588","008892007/20160922/IC507","50"
"589","008892007/20160922/IC507","50"
"590","008891140/20160922/IC1507","50A"
"591","008895802/20160922/S32257","50"
"592","008812005/20160922/IC2007","25"
"593","008822004/20160922/IC2007","25"
"594","008821121/20160922/IC3330","25"
"595","008811601/20160922/S86581","161"
"596","008841004/20160922/P7444","36"
"597","008831005/20160922/IC1534","35"
"598","008812005/20160922/S61584","123"
"599","008814308/20160922/IC1912","96"
"600","008811189/20160922/3315","25"
"601","008863008/20160922/IC3837","130"
"602","008896008/20160922/IC837","66"
"603","008821121/20160922/L2666","52"
"604","008821006/20160922/IC2039","25"
"605","008812005/20160922/P8013","50"
"606","008812005/20160922/IC4516","25"
"607","008821006/20160922/IC1839","59"
"608","008811213/20160922/S23689","0"
"609","008811213/20160922/S23689","0"
"610","008814001/20160922/IC539","50"
"611","008833001/20160922/IC4141","53"
"612","8812005/20160922/IC3642","50"
"613","8895802/20160922/IC2305","50"
"614","008892007/20160922/IC2813","50"
"615","008814001/20160922/IC3703","36"
"616","008814001/20160922/IC3703","36"
"617","008841004/20160922/IC2436","125"
"618","008813003/20160922/IC1921","0"
"619","008861515/20160922/L6279","161"
"620","008871332/20160923/IC4005","124"
"621","008814209/20160923/IC2005","124"
"622","008872009/20160923/IC4506","124"
"623","008821121/20160923/IC4324","19"
"624","008822343/20160923/S11772","25"
"625","008822004/20160923/S11778","25"
"626","008822004/20160923/S11778","25"
"627","008896925/20160923/IC408","66"
"628","008822251/20160923/S11778","25"
"629","008833001/20160923/P7302","36"
"630","008822269/20160923/S11778","25"
"631","008883311/20160923/S67574","94"
"632","008811189/20160923/S11778","25"
"633","008811148/20160923/S11778","25"
"634","008821121/20160923/IC3328","25"
"635","008821600/20160923/L2878","16"
"636","008812005/20160923/IC1929","96"
"637","008812005/20160923/IC1929","96"
"638","008894672/20160923/L2778","54"
"639","008812120/20160923/S32279","60"
"640","008812120/20160923/S32279","60"
"641","008812070/20160923/S32279","60"
"642","008831401/20160923/P7306","35"
"643","008811189/20160923/IC3406","27"
"644","008821337/20160923/S11981","25"
"645","008896800/20160923/P8992","66"
"646","008821196/20160923/L2681","52"
"647","008822004/20160923/IC4533","25"
"648","008893120/20160923/L763","58"
"649","008812005/20160923/P8800","96"
"650","008861143/20160923/L4563","130"
"651","008861143/20160923/L4563","130"
"652","008814308/20160923/IC3236","94"
"653","008841004/20160923/IC3814","37"
"654","008841004/20160923/IC3814","37"
"655","008841004/20160923/IC3814","37"
"656","008841004/20160923/IC3814","37"
"657","008871100/20160923/IC3814","118"
"658","008883311/20160923/IC3236","94"
"659","008883436/20160923/IC3236","94"
"660","008811676/20160923/S86385","161"
"661","8813003/20160922/IC536","50"
"662","008811601/20160923/IC2136","161"
"663","008813003/20160923/IC4536","124"
"664","008812005/20160923/P8444","36"
"665","008892007/20160923/IC436","75"
"666","008812005/20160923/P8444","36"
"667","008821006/20160923/IC723","59"
"668","008812005/20160923/IC4515","25"
"669","008863008/20160923/IC2437","161"
"670","008896800/20160923/IC816","66"
"671","008821121/20160923/IC716","59"
"672","008814001/20160923/IC1738","96"
"673","008812005/20160923/IC2238","0"
"674","008814001/20160923/IC2238","50"
"675","008812005/20160923/IC2238","0"
"676","008895836/20160923/IC2238","50"
"677","008814001/20160923/IC1738","96"
"678","008814001/20160923/IC3438","96"
"679","008814001/20160923/IC3738","96"
"680","008814001/20160923/IC3438","96"
"681","008895836/20160923/IC2238","50"
"682","008821121/20160923/L2967","25"
"683","008813003/20160923/IC3117","0"
"684","008813003/20160923/IC2016","25"
"685","008821337/20160923/S11789","25"
"686","008812005/20160923/S11778","0"
"687","008811007/20160923/S11778","0"
"688","008821600/20160923/IC3441","25"
"689","008841004/20160923/IC2440","125"
"690","008822004/20160923/IC2618","25"
"691","8814001/20160923/P8903","89"
"692","008814001/20160923/IC1543","50"
"693","008831401/20160923/IC2643","35"
"694","008821006/20160924/IC3327","25"
"695","008819406/20160924/IC4042","124"
"696","008863008/20160924/IC2133","161"
"697","008832458/20160924/IC4330","15"
"698","008821717/20160924/IC4330","15"
"699","008821600/20160924/IC4330","15"
"700","008821121/20160924/IC4330","4"
"701","008832433/20160924/IC4330","19"
"702","008832409/20160924/IC4330","19"
"703","008832565/20160924/IC4330","19"
"704","008832573/20160924/IC4330","19"
"705","008813003/20160924/IC2510","0"
"706","008895208/20160924/L1883","122"
"707","008844503/20160924/IC536","37"
"708","008844008/20160924/IC536","37"
"709","008892007/20160924/IC1537","50A"
"710","008891124/20160924/L569","50A"
"711","008892007/20160924/3640","75-73"
"712","008892080/20160924/3640","75-73"
"713","008892106/20160924/3640","73"
"714","008892254/20160924/3640","73"
"715","008892205/20160924/3640","73"
"716","008814001/20160924/IC518","0"
"717","008819406/20160924/IC3644","36"
"718","008892007/20160924/P7001","50"
"719","008812070/20160925/S32279","60"
"720","008864345/20160925/IC2131","161"
"721","008821006/20160925/IC2908","4"
"722","008833001/20160925/IC535","36"
"723","8892007/20160925/IC509","50"
"724","008814415/20160925/S53360","26"
"725","008863503/20160925/P7662",NA
"726","008822004/20160925/IC2030","25"
"727","008822004/20160925/IC4529","25"
"728","008833308/20160925/P7311","21"
"729","008892007/20160925/IC516","36"
"730","8814001/20160925/IC538","50"
"731","008822004/20160925/L889","53"
"732","008891009/20160925/IC518","50A"
"733","008891009/20160925/IC1518","50A"
"734","008821121/20160925/P8223","36"
"735","008891009/20160925/IC1519","50A"
"736","008881000/20160925/IC3722","96"
"737","008891009/20160925/IC1519","50A"
"738","008891140/20160925/IC1519","50A"
"739","008892007/20160925/IC1519","50"
"740","008884004/20160925/P7862","78"
"741","008814167/20160925/S11757","124"
"742","008814167/20160925/S11757","124"
"743","008883006/20160926/P7802","96"
"744","008821071/20160926/IC3329","25"
"745","008841202/20160926/P7444","36"
"746","008831005/20160926/P7305","35"
"747","008882206/20160926/IC3827","118"
"748","008883808/20160926/S23756","96"
"749","008831138/20160926/IC2229","35"
"750","008831005/20160926/P7215","35"
"751","008831401/20160926/P7215","34"
"752","008821832/20160926/P7215","16"
